25,1,8:00,9:00,12.01,Consulta de Quimica I y II,A,,,
106,1,11:00,13:00,00.00,Curso Aleman,A,,,
22,1,13:00,16:00,00.00,PESCAR,A,,,
12,1,13:00,14:00,12.01,Consulta de Quimica I y II,A,,,
123,1,13:00,15:00,00.00,Curso Portugues Inicial,A,,,
141,1,14:00,17:00,12.34,Quimica Organica para Petroleo (Problemas),Q,,,
31,1,19:00,22:00,10.04,Plantas Industriales,A,,,
106,2,10:00,12:00,00.00,Curso Aleman,A,,,
117,2,11:30,13:00,00.00,Curso Conversacion,A,,,
126,2,13:00,15:00,00.10,Curso Frances,A,,,
122,2,15:00,17:00,00.10,Curso Frances,A,,,
107,2,17:00,19:00,00.00,Curso Italiano,A,,,
106,3,9:00,11:00,00.00,Curso Chino,A,,,
116,3,12:30,14:00,00.00,Curso Intermediate,A,,,
106,3,14:00,16:00,00.00,Curso Chino,A,,,
117,3,14:00,16:00,93.17,Consulta Matematica Comisiones E y B ,A,,,
106,3,16:00,19:00,21.45,Proyecto de Investig Eficiencia Energetica,A,,,
29,4,10:00,11:00,12.33,Quimica organica II (Clase de problemas),A,,,
141,4,12:00,15:00,00.00,Curso Italiano,A,,,
22,4,13:00,16:00,00.00,PESCAR,A,,,
105,4,13:00,15:00,93.51,Clase de Mecanica General (recuperatorios),A,,25
117,4,13:00,15:00,00.10,Curso Frances,A,,,
122,4,17:00,22:00,00.00,WEC - CACME Jornadas de energia,A,,40
12,5,11:00,13:00,12.32,Quimica organica I (Clase de problemas),A,,,
113,5,11:30,13:00,00.00,Curso Advanced,A,,,
12,5,13:00,15:00,00.00,Taller de ingles para profesores,A,,20
22,5,13:00,16:00,00.00,PESCAR,A,,,
106,5,13:00,15:00,00.00,Ingles para Docentes,A,,,
105,5,13:00,14:00,12.01,Consulta de Quimica I y II,A,,,
113,5,13:00,14:30,00.00,Curso Intermediate,A,,,
141,5,16:00,18:00,00.00,Curso Portugues,A,,,
13,6,8:00,14:00,00.00,Aula para Estudiar,A,,,
123,3,12:00,14:00,93.02,Clase de Matematica II ,E,,22
